laporan,label
Banyak jalan berlubang di desa Kopo dengan kedalaman lebih dari 50cm mengganggu arus lalu lintas,Prioritas
Tumpukan sampah di taman mencapai 1 meter tinggi mengeluarkan bau menyengat,Prioritas
Pohon besar di pinggir jalan raya tampak miring 45 derajat berpotensi tumbang,Prioritas
Kabel listrik terkelupas dan menyambar-nyambar di area permukiman padat penduduk,Prioritas
Longsor kecil menutupi 50% badan jalan utama ke kecamatan,Prioritas
Bocor gas elpiji terdeteksi di sekitar komplek perumahan,Prioritas
Bangunan tua tidak terawat di pusat kota mulai menunjukkan retakan struktural,Prioritas
Genangan banjir setinggi lutut dewasa di permukiman selama 3 hari berturut-turut,Prioritas
Papan reklame besar di persimpangan jalan terpasang tidak sempurna dan goyang,Prioritas
Selokan utama tersumbat menyebabkan banjir merendam 10 rumah warga,Prioritas
Tiang listrik terbakar di dekat SPBU menyebabkan kepanikan warga,Prioritas
Pipa air PDAM pecah menggenangi jalan utama dengan air kotor,Prioritas
Jembatan gantung penghubung dua desa terputus akibat banjir bandang,Prioritas
Truk pengangkut bahan kimia terbalik di jalan tol,Prioritas
Kebakaran hutan mulai mendekati permukiman warga,Prioritas
Rumput di taman umum tumbuh tinggi melebihi 30cm,Reguler
Lampu taman mati 2 buah di area jogging track,Reguler
Cat dinding balai desa terkelupas di beberapa bagian,Reguler
Bangku taman di area playground terdapat paku yang mencuat,Reguler
Papan nama jalan di RT 05 terlihat kusam dan sulit dibaca,Reguler
Got kecil di depan rumah warga tersumbat daun kering,Reguler
Tempat sampah di taman kurang 1 unit,Reguler
Pagar pembatas taman perlu pengecatan ulang,Reguler
Ada coretan grafiti di dinding halte bus,Reguler
Pohon palem di median jalan perlu pemangkasan daun kering,Reguler
Lubang kecil diameter 15cm di jalan kampung,Reguler
Penempatan tong sampah tidak merata di area pasar,Reguler
Paving block trotoar di depan sekolah ada yang retak,Reguler
Bau tidak sedap dari selokan depan kantor kelurahan,Reguler
Air mancur di alun-alun tidak berfungsi maksimal,Reguler
Kabel fiber optik terputus mengganggu layanan internet,Prioritas
Bocor pipa gas metana di TPA menyebabkan risiko ledakan,Prioritas
Papan billboard raksasa di tepi jalan tol mulai miring,Prioritas
Tanggul sungai retak sepanjang 10 meter di dekat permukiman,Prioritas
Kandang hewan ternak roboh menimpa pagar rumah warga,Prioritas
Lubang drainase di depan rumah warga tidak tertutup rapat,Reguler
Tulisan penunjuk arah ke puskesmas terbalik,Reguler
Keran air umum di pasar perlu perbaikan washer,Reguler
Pohon perindang perlu pemangkasan cabang bawah,Reguler
Papan pengumuman desa lapuk terkena hujan,Reguler
Coretan graffiti mengganggu di kursi halte bus,Reguler
Vandalisme cat di tembok halte,Reguler
Gambar tidak pantas di bangku taman,Reguler
Jalan utama desa Kopo ambles sedalam 2 meter mengganggu akses ambulans,Prioritas
Tiang listrik tegangan tinggi roboh di depan SD Negeri 05,Prioritas
Kebocoran gas elpiji terdeteksi di warung makan Padang,Prioritas
Banjir bandang setinggi 1.5 meter merendam 50 rumah warga,Prioritas
Jembatan gantung penghubung dua dusun putus total,Prioritas
Pipa air PDAM pecah menggenangi jalan raya selama 2 hari,Prioritas
Kabel listrik terbakar di dekat SPBU Pertamina,Prioritas
Longsor menutup 70% jalan utama ke kecamatan,Prioritas
Bangunan tua di pusat kota retak vertikal 10cm mengancam roboh,Prioritas
Truk pengangkut bahan kimia terguling di jalan tol,Prioritas
Selokan utama tersumbat sampah plastik menyebabkan banjir di 15 rumah,Prioritas
Papan reklame besar di persimpangan jalan goyang diterpa angin,Prioritas
Kebakaran hutan mencapai radius 500m dari permukiman,Prioritas
Sumur warga terkontaminasi limbah pabrik ilegal,Prioritas
Tanggul sungai retak sepanjang 20m di dekat pemukiman,Prioritas
Coretan grafiti berbau SARA di dinding halte bus,Reguler
Tempat duduk kayu di taman terdapat lukisan vandal,Reguler
Papan petunjuk jalan di RT 03 terkelupas catnya,Reguler
Pohon palem di trotoar perlu pemangkasan ranting kering,Reguler
Lampu taman mati 3 buah di area jalan sehat,Reguler
Poskamling RW 10 perlu pengecatan ulang,Reguler
Spanduk kampanye tertiup angin hingga sobek,Reguler
Kursi besi di halte bus berkarat di beberapa bagian,Reguler
Paving block trotoar depan kantor desa retak 2 buah,Reguler
Tempat sampah warna hijau di pasar kurang 2 unit,Reguler
Pagar pembatas taman bengkok di 3 titik,Reguler
Genangan air hujan di lubang jalan diameter 30cm,Reguler
Bau tidak sedap dari selokan depan rumah makan,Reguler
Papan pengumuman kelurahan lapuk terkena hujan,Reguler
Pohon tabebuya di median jalan perlu pembersihan bunga rontok,Reguler
Kandang ternak ayam roboh menimpa pagar rumah warga,Prioritas
Kebocoran pipa gas metana di TPA menyebabkan sesak napas warga,Prioritas
Jalan lingkar kota berlubang dalam 40cm menyebabkan kecelakaan truk,Prioritas
Tali pengaman jembatan putus di tempat wisata,Prioritas
Kabel fiber optik terputus ganggu layan internet 3 hari,Prioritas
Pohon mangga di pinggir jalan perlu pemangkasan dahan rendah,Reguler
Tulisan peringatan di dinding sekolah perlu penghapusan,Reguler
Kran air umum di pasar bocor ringan,Reguler
Pot tanaman di taman pecah 2 buah,Reguler
Plang nama jalan di gang sempit miring 15 derajat,Reguler
Bangunan kosong jadi sarang tikus dan nyamuk DBD,Prioritas
Pembuangan limbah deterjen ilegal ke sungai,Prioritas
Konstruksi bangunan tidak aman dengan perancah bambu,Prioritas
Papan iklan UMKM di tepi jalan terpasang miring,Reguler
Kusen jendela balai desa perlu pernis ulang,Reguler
Lubang got depan toko tidak tertutup rapat,Reguler
Tumpukan sampah elektronik beracun di lahan kosong,Prioritas
Pemotongan pohon tidak profesional tinggalkan tunggul tajam,Prioritas
Kabel listrik menjuntai di ketinggian 1 meter dari tanah,Prioritas
Kotak surat rusak berat di kantor pos,Reguler
Penyangga rambu lalu lintas bengkok,Reguler
Cat garis marka jalan memudar di persimpangan,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Lampu jalan mati di beberapa titik.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Lampu jalan mati di beberapa titik.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Lampu jalan mati di beberapa titik.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Lampu jalan mati di beberapa titik.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Lampu jalan mati di beberapa titik.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Tebing rawan longsor sangat dekat dengan sekolah dasar.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman warga.,Prioritas
Jembatan penghubung desa terancam ambruk.,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Jembatan penghubung desa terancam ambruk.,Prioritas
Api membakar lahan kosong dekat pemukiman.,Prioritas
Tiang listrik patah dan hampir menimpa rumah warga.,Prioritas
